episode,timestep,reward
1,1032,0.4275
3,2064,0.5451
5,3096,0.3896
7,4128,0.5834
9,5160,0.4273
12,7224,0.5089
14,8256,0.4838
16,9288,0.467
18,10320,0.4557
20,11352,0.505
21,12384,0.4998
23,13416,0.4108
25,14448,0.4785
27,15480,0.4957
29,16512,0.4551
32,18576,0.4724
34,19608,0.4696
36,20640,0.4062
38,21672,0.5094
40,22704,0.6013
43,24768,0.4628
45,25800,0.4376
47,26832,0.381
49,27864,0.3809
51,28896,0.5392
52,29928,0.2161
54,30960,0.3415
56,31992,0.3958
58,33024,0.4481
60,34056,0.4566
63,36120,0.4642
65,37152,0.3722
67,38184,0.483
69,39216,0.4423
71,40248,0.3513
74,42312,0.3309
76,43344,0.3829
78,44376,0.4437
80,45408,0.4797
82,46440,0.4412
83,47472,0.4321
85,48504,0.4571
87,49536,0.3999
89,50568,0.3552
91,51600,0.4067
94,53664,0.3648
96,54696,0.3337
98,55728,0.4663
100,56760,0.3835
102,57792,0.3748
105,59856,0.3894
107,60888,0.4658
109,61920,0.2168
111,62952,0.4589
113,63984,0.4656
114,65016,0.3018
116,66048,0.3767
118,67080,0.3483
120,68112,0.3971
122,69144,0.2788
125,71208,0.3662
127,72240,0.3098
129,73272,0.3937
131,74304,0.3318
133,75336,0.3325
136,77400,0.2968
138,78432,0.2175
140,79464,0.2743
142,80496,0.2433
144,81528,0.4387
145,82560,0.4384
147,83592,0.3624
149,84624,0.2685
151,85656,0.3886
153,86688,0.4345
156,88752,0.4137
158,89784,0.4185
160,90816,0.3058
162,91848,0.4344
164,92880,0.2918
167,94944,0.2463
169,95976,0.2473
171,97008,0.3731
173,98040,0.3042
175,99072,0.1937
176,100104,0.1909
