round,longest_depart_time,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,190.0,7.0,242.08266429123194,833.3249637161314,1.0
2.0,190.0,12.0,210.6887203160889,755.3225509081882,1.0
3.0,220.0,8.0,206.75979538107788,783.8458937438418,1.0
4.0,190.0,10.0,206.40391802650197,782.3903766410547,1.0
5.0,200.0,10.0,213.6588675519439,794.5349499476666,1.0
6.0,200.0,5.0,199.84478943295122,796.9168866062282,1.0
7.0,210.0,9.0,232.15777527871106,822.1490793755625,1.0
8.0,200.0,6.0,229.2264409530791,778.7393976777187,1.0
9.0,190.0,11.0,202.52730336871466,780.795126165067,1.0
10.0,220.0,9.0,189.96317040087143,795.3979284310242,1.0
