round,longest_vehicle_depart,round_peroid,scheduled_number
1.0,448.7957166392092,568.9168687802119,19.939044481054367
2.0,471.5369003690037,504.5983650153927,20.0
3.0,640.3564356435644,740.3463658781875,19.91089108910891
4.0,600.3433133732535,694.717717210907,19.90818363273453
5.0,496.75485008818345,587.9057042108435,19.881834215167547
6.0,689.8019801980198,779.1147525552756,20.0
7.0,478.43393148450247,563.4765046115878,19.95595432300163
8.0,473.07563025210084,543.4674501954294,19.95798319327731
9.0,495.9816513761468,537.6769026245331,19.94495412844037
10.0,535.2105263157895,627.6093885170118,19.889473684210525
